ORGANISM HABITAT	Number of occurrances	Classification
Honey bee Larva|Host	6	a
Host|Mouse	6	a
Wine	6	a
Built environment	6	a
Lake|Sediment enrichment 	6	a
Mangrove soil	6	a
Chicken gastrointestinal tract	6	a
Human skin	6	a
Sediment enrichment 	6	a
River water	6	a
Sediment|Aquatic|Soil|Fresh water	5	a
Mud|Fresh water	5	a
Soil|Host|Terrestrial	5	a
Soil|Host|Fresh water|Wastewater	5	a
Aquatic|Soil|Fresh water|Ponds	5	a
Aquatic|Soil|Host|Fresh water	5	a
Rumen|Host	5	a
Soil|Host|Wastewater	5	a
Soil|Oil fields	5	a
Mine	5	a
Bovine intestinal microflora|Host	5	a
Sediment|Aquatic|Soda lakes|Fresh water	5	a
Lab enrichment	5	a
Plant surface|Soil|Host	5	a
Marine|Sea water	5	a
Host|Human airways|Respiratory tract	5	a
Aquatic|Biofilm	5	a
Aquatic|Saline water	5	a
Dairy isolates|Fermented food product	5	a
Cellulosic substrates	5	a
Plants|Rice paddies	5	a
Aquatic|Estuaries	5	a
Cave	5	a
Soil|Host|Ponds	5	a
Sediment|Lake	5	a
Animal gastrointestinal tract	5	a
Deep sea	5	a
Aquatic|Sludge|Wastewater	5	a
Marine|Sand|Aquatic	5	a
Brewery	5	a
Beef food product	5	a
Leaf	5	a
Aquaculture|Animal gastrointestinal tract	5	a
Pig	5	a
Tree	5	a
Sewage	5	a
Glacier	5	a
Oyster	5	a
Undefined	5	a
Clinical isolate	5	a
Host|Sludge	4	a
Root nodule|Soil|Host	4	a
Fresh water|Groundwater	4	a
Mud|Soil	4	a
Marine|Deep sea	4	a
Swine upper respiratory tract|Host	4	a
Endosymbiont	4	a
Host|Human oral cavity|Vagina	4	a
Marsh	4	a
Sewage plant	4	a
Marine|Aquatic|Host|Fresh water	4	a
Host|Termite gut	4	a
Plants|Soil	4	a
Host|Human blood	4	a
Acid mine drainage	4	a
Rice paddies	4	a
Plant surface|Soil|Host|Human airways|Wastewater	4	a
Aquatic|Human intestinal microflora|Host	4	a
Marine|Aquatic|Soil	4	a
Respiratory tract	4	a
Mat	4	a
Host|Human abscess	4	a
Aquatic|Hypersaline lakes	4	a
Salt mine	4	a
Aquatic|Host|Acid mine drainage	4	a
Deep subsurface	4	a
Fruits	4	a
Sediment|Hot spring	4	a
Animal feces|Mammalian gastrointestinal tract	4	a
Nasopharyngeal microflora|Respiratory tract	4	a
Flower	4	a
Seafloor	4	a
Hydrocarbon contaminated soil	4	a
Permafrost	4	a
Soda lake sediment	4	a
Soda lake	4	a
Marine water	4	a
Human clinical isolate	4	a
Marine|Aquatic|Oil fields	3	a
Marine|Host|Fresh water	3	a
Host|Endophyte	3	a
Soil|Host|Rice roots	3	a
Marine|Mud	3	a
Marine|Sediment|Aquatic|Fresh water	3	a
Host|Oral cavity|Gastrointestinal tract|Colon|Respiratory tract	3	a
Bacteriocytes|Host|Insect endosymbiont|Endosymbiont	3	a
Host|Oral cavity|Human airways	3	a
Animal manure	3	a
Marine|Aquatic|Surface water|Fresh water	3	a
Host|Human airways|Human oral cavity	3	a
Sediment|Soil|Fresh water	3	a
Obligate symbiont|Fresh water	3	a
Mud|Aquatic|Soil|Sea water|Fresh water|Animal gastrointestinal tract	3	a
Marine|Aquatic|Surface water|Sea water	3	a
Plant symbiont|Root nodule|Soil|Host	3	a
Aquatic|Lake|Mat	3	a
Host|Human skin|Human	3	a
Host|Gastrointestinal tract|Wastewater	3	a
Snow	3	a
Apple	3	a
Host|Gastrointestinal tract|Feces|Human	3	a
Marine|Biofilm	3	a
Chemical reactor	3	a
Marine|Soil	3	a
Lab culture	3	a
Solar saltern	3	a
Soil|Permafrost sediment	3	a
Fermented food product|Sourdough	3	a
Intestinal tract|Aquatic|Soil|Host|Fresh water	3	a
Intestinal tract|Birds intestinal microflora	3	a
Soil|Plant root	3	a
Dairy isolates|Food	3	a
Mammalian gastrointestinal tract	3	a
Freshwater ponds	3	a
Soil|Host|Human fecal	3	a
Potato	3	a
Cattle|Pig	3	a
Wheat|Sourdough	3	a
Wheat food product|Sourdough	3	a
Fresh water sediment	3	a
Sediment|Sand	3	a
Wood	3	a
Hydrothermal sediment	3	a
Aquatic|Pond water	3	a
Plant symbiont|Root nodule|Soil	3	a
Tick	3	a
Activated wastewater sludge	3	a
Hare|Host|Pig	3	a
Alkaline water	3	a
Algae	3	a
Oil polluted soil	3	a
Gut|Larva	3	a
Intestinal tract|Soil|Host|Oral cavity|Fresh water|Skin	2	a
Root nodule|Soil|Host|Plant root|Rhizosphere	2	a
Ponds	2	a
Marine|Hot spring|Aquatic|Host|Hydrothermal vent	2	a
Marine|Soil|Host|Permafrost sediment	2	a
Fresh water|Oil fields	2	a
Animal feces|Host|Gastrointestinal tract|Feces|Wastewater	2	a
Soil|Sewage plant	2	a
Aquatic|Soil|Host|Ponds	2	a
Intestinal tract|Soil|Host	2	a
Hot spring|Aquatic|Host|Human oral cavity	2	a
Aquatic|Host|Fresh water|Ponds	2	a
Hot spring|Mud|Aquatic|Fresh water	2	a
Intestinal tract|Soil|Host|Food	2	a
Intestinal tract|Soil|Food|Fresh water	2	a
Marine|Mud|Marine sediment	2	a
Intestinal tract|Host|Gastrointestinal tract|Human fecal|Feces|Human	2	a
Intestinal tract|Host|Blood	2	a
Soil|Cave	2	a
Human intestinal microflora|Host|Gastrointestinal tract	2	a
Marine|Sediment|Aquatic|Hydrothermal vent	2	a
Soil|Desert soil	2	a
Marine|Marine plankton	2	a
Aquatic|Deep subsurface	2	a
Human intestinal microflora|Host|Vagina	2	a
Surface water|Fresh water	2	a
Marine|Aquatic|Red Sea	2	a
Soil|Host|Sludge	2	a
Marine|Hot spring|Aquatic|Fresh water	2	a
Sewage plant|Sewage|Wastewater	2	a
Plants|Wood	2	a
Marine|Oil fields	2	a
Plants|Soil|Host	2	a
Plants|Soil|Host|Fresh water	2	a
Marine|Mud|Host	2	a
Marine|Host|Surface water	2	a
Host|Gastrointestinal tract|Fresh water	2	a
