ORGANISM HABITAT	Number of occurrances	Classification
Marine|Host|Gastrointestinal tract|Fresh water|Feces	1	a
Marine|Sludge|Wastewater	1	a
Birds intestinal microflora|Human intestinal microflora|Mammalian gastrointestinal tract	1	a
Marine|Sediment|Soil|Host|Rice roots	1	a
Intestinal tract|Urogenital tract	1	a
Human fecal|Human oral cavity	1	a
Epilithon|Biofilm	1	a
Intestinal tract|Soil|Food|Sewage plant	1	a
Insect gut|Fish|Gut	1	a
Fish|Gut of the body louse|Fresh water	1	a
Plants|Soil|Human	1	a
Aquatic|Soil|Wastewater	1	a
Intestinal tract|Dairy isolates|Food factory water	1	a
Marine|Sediment|Sand|Aquatic|Sea water	1	a
Sea water|Biofilm	1	a
Dairy isolates|Soil|Gastrointestinal tract|Self-heated organic materials	1	a
Ant fungal garden	1	a
Plant surface	1	a
Stagnant water|Lake|Ponds	1	a
Marine|Host|Fresh water|Biofilm	1	a
Marine|Aquatic|Host|Gastrointestinal tract|Fresh water|Feces	1	a
Hot spring|Aquatic|Soil|Hydrothermal vent	1	a
Bacteriocytes	1	a
Marine|Sand|Host	1	a
Host|Gastrointestinal tract|Gut|Human fecal|Feces	1	a
Human intestinal microflora|Host|Gastrointestinal tract|Human fecal|Mouse Gut|Animal gastrointestinal tract	1	a
Milk|Food|Gastrointestinal tract	1	a
Human intestinal microflora|Host|Gastrointestinal tract|Human fecal|Mouse Gut|Feces|Animal gastrointestinal tract	1	a
Animal feces|Human intestinal microflora|Host|Gastrointestinal tract|Human fecal|Animal gastrointestinal tract	1	a
Intestinal tract|Human intestinal microflora	1	a
Host|Human abdomin|Human	1	a
Aquatic|Soil|Rhizosphere	1	a
Host|Human blood|Human	1	a
Aquatic|Wetland|Fresh water	1	a
Aquatic|Lake|Saline water	1	a
Mud|Aquatic|Estuaries	1	a
Rock|Endolithic|Submarine|Arctic	1	a
Sediment|Estuarine sediment|Aquatic|Estuaries	1	a
Plants|Plant surface|Beet|Silage	1	a
Lab enrichment|Sea water	1	a
Marine|Aquatic|Host|Fish	1	a
Birds intestinal microflora|Soil	1	a
Sediment|Aquatic|Brackish water	1	a
Plants|Vegetables	1	a
Human intestinal microflora|Host|Gastrointestinal tract|Human feces|Feces|Human	1	a
Mine|Aquatic|Acid mine drainage|Mine water	1	a
Soil|Greenhouse soil	1	a
Aquatic|Cheese	1	a
Soil|Host|Feces	1	a
Sediment|Aquatic|Contaminated aquifer|Oil polluted sediment	1	a
Animal|Compost|Slaughterhouse|Biofilter	1	a
Solar saltern|Aquatic|Saline water	1	a
Aquatic|Surface water|Sea water	1	a
Soil|Compost	1	a
Mud|Aquatic|Soda lakes	1	a
Solar saltern|Aquatic	1	a
Beer|Fermented food product	1	a
Sediment|Sewage plant	1	a
Pig feces|Host|Pig	1	a
Host|Pig|Bovine	1	a
Aquatic|Waste treatement plant	1	a
Marine|Wetland	1	a
Sediment|Rhizosphere	1	a
Aquatic|Brackish water|Mat	1	a
Aquatic|Brackish water	1	a
Marine|Sediment|Mud|Aquatic|Fresh water|Sewage|Wastewater	1	a
Marine|Sediment|Aquatic|Oil fields	1	a
Sediment|Soil|Host|Fresh water	1	a
Host|Gut|Mouse Gut	1	a
Sediment|Estuarine sediment|Estuaries	1	a
Wheat|Food	1	a
Marine|Sediment|Hot spring|Aquatic|Hydrothermal vent|Deep sea	1	a
Soil|Fresh water|Human fecal	1	a
Lake|Ponds	1	a
Aquatic|Paper mill|Wastewater treatment plant|Wastewater	1	a
Bioreactor|Wastewater	1	a
Hot spring|Saline water	1	a
Sediment|Hot spring|Aquatic|Lentic sediment|Fresh water	1	a
Intestinal tract|Soil|Fresh water|Sewage plant	1	a
Clinical isolate|Hospital|Human	1	a
Host|Gastrointestinal tract|Vagina	1	a
Vegetables|Fruits	1	a
Intestinal tract|Oral cavity|Skin|Urogenital tract	1	a
Skin	1	a
Intestinal tract|Oral cavity|Vagina	1	a
Soil|Food|Fresh water|Feces	1	a
Aquatic|Fresh water|Sludge	1	a
Clinical isolate|Human gastrointestinal tract|Human	1	a
Wheat|Fermented food product|Sourdough	1	a
Gastrointestinal tract|Vagina	1	a
Host|Human fecal|Feces	1	a
Grape|Fermented food product	1	a
Sediment|Deep subsurface	1	a
Host|Human airways|Human	1	a
Lake water|Lake|Fresh water	1	a
Reservoir water|Fresh water	1	a
Dairy isolates|Milk	1	a
Marine|Marine sediment	1	a
Wine|Fruits	1	a
Marine|Sediment|Mud	1	a
Human intestinal microflora|Host|Skin	1	a
Soil|Fresh water|Wastewater	1	a
Animal feces|Hot spring|Mammalian gastrointestinal tract	1	a
Soil|Host|Pig	1	a
Soil|Host|Mouse	1	a
Animal feces|Host|Gastrointestinal tract|Feces	1	a
Plant symbiont|Root nodule|Soil|Plant root|Rhizosphere-colonizing|Rhizosphere	1	a
Host|Terrestrial|Sludge|Wastewater	1	a
Soil|Wetland|Bog	1	a
Animal feces|Soil|Terrestrial	1	a
Host|Fish|Meat food product	1	a
Root nodule|Soil	1	a
Host|Meat food product	1	a
Host|Vegetables	1	a
Brackish water	1	a
Host|Human appendix|Human	1	a
Host|Hindgut	1	a
Marine|Aquatic|Surface water|Antarctic	1	a
Sediment|Mud|Aquatic|Lake|Fresh water	1	a
Host|Termite gut|Termite|Cellulosic substrates	1	a
Aquatic|Fresh water|Human abscess|Ponds	1	a
Host|Human wound	1	a
Animal facility|Aquatic|Fish|Animal gastrointestinal tract	1	a
Dairy isolates|Soil|Fresh water	1	a
Air|Stratosphere	1	a
Marine|Sediment|Aquatic|Soil	1	a
Sediment|Soil|Terrestrial	1	a
Plant surface|Plant|Leaf	1	a
Sediment|Sludge|Wastewater	1	a
Sediment|Seafloor	1	a
Human|Algae	1	a
Soil|Skin	1	a
Sediment|Aquatic|Lake|Fresh water|Wastewater treatment plant	1	a
Cattle|Calf	1	a
Oil production fluid|Oil fields	1	a
Soil|Rhizosphere-colonizing|Rhizosphere	1	a
Host|Rhizosphere-colonizing	1	a
Host|Lung|Respiratory tract	1	a
Host|Human saliva|Human oral cavity|Human	1	a
Aquatic|Deep sea	1	a
Nematode	1	a
Host|Lymph nodes|Lung	1	a
Sludge|Wastewater|Biofilm	1	a
Host|Gastrointestinal tract|Feces|Mouse	1	a
Marine|Hot spring|Mud|Aquatic|Hydrothermal vent	1	a
Rice|Sourdough	1	a
Host|Sputum	1	a
Fish food product|Fermented food product	1	a
Sediment|Hot spring|Aquatic|Hydrothermal vent	1	a
Hamster feces	1	a
Salt marsh	1	a
Marine|Hydrothermal vent|Marine geothermal field	1	a
Chicken feces|Host|Gastrointestinal tract|Feces	1	a
Sediment|Intertidal zone|Intertidal sediment	1	a
Sand|Aquatic|Fresh water	1	a
Plant|Fermentaion factory waste	1	a
Host|Human saliva	1	a
Aquatic|Host|Ponds	1	a
Sediment|Intertidal zone|Beach	1	a
Plant|Seed	1	a
Aquatic|Host|Sludge|Wastewater	1	a
Soil|Sludge|Wastewater	1	a
Gut|Abalone	1	a
Brewery|Barley	1	a
Milk|Food	1	a
Marine|Aquatic|Soil|Wetland	1	a
Bumblebee	1	a
Human airways	1	a
Urethra|Urogenital tract	1	a
Host|Horse feces	1	a
Sediment|Hot spring|Aquatic|Fresh water	1	a
Lab enrichment|Compost	1	a
Oyster|Estuaries	1	a
Endophyte	1	a
Built environment|Biofilm	1	a
Host|Human gastrointestinal tract	1	a
Cattle feces	1	a
Host|Gastrointestinal tract|Pigeon	1	a
Brewery|Compost	1	a
Host|Human saliva|Human oral cavity	1	a
Cattle|Maize|Feces	1	a
Host|Insect|Aphid	1	a
Host|Eye	1	a
Human skin|Skin	1	a
Aquatic|Soil|Host|Monkey|Human|Domestic water	1	a
Antacid	1	a
Aquatic|Sludge	1	a
Crab	1	a
Animal feces	1	a
Host|Human urine|Human|Urine	1	a
Arctic soil	1	a
Intertidal sediment	1	a
Host|Human ear	1	a
Soil|Host|Human oral cavity	1	a
Hot spring sediment|Aquatic	1	a
Marine|Aquatic|Rhizosphere	1	a
Soda lake|Alkaline water	1	a
Salt|Brine	1	a
Deep subsurface|Groundwater	1	a
Beet	1	a
Human trachea	1	a
Host|Ascidian	1	a
Marine|Aquatic|Mollusk gastrointestinal tract	1	a
Milk|Sheep	1	a
Aquatic|Soil|Saline lake	1	a
Aquatic|Soil|Host|Monkey|Human	1	a
Host|Poultry meat product	1	a
Ice	1	a
Sediment|Mud	1	a
Marine|Coral	1	a
Aquatic|Insect	1	a
Trout|Fish	1	a
Bird feces	1	a
Intestinal tract|Host|Human	1	a
Human throat	1	a
Microbial mat|Antarctic pond	1	a
Hypersaline lakes	1	a
Stratosphere	1	a
Snail	1	a
Industrial waste	1	a
Rice paddies|Fresh water|Sewage plant	1	a
Aquifer|Hydrothermal water	1	a
Host|Insect|Terrestrial	1	a
Insect|Terrestrial|Nematode symbiont	1	a
Rumen|Calf	1	a
Rumen|Bovine	1	a
Iron mine	1	a
Milk|Sheep|Goat	1	a
Rabbit	1	a
Industrial water|Industrial waste	1	a
Oil polluted marine water	1	a
Marine sponge	1	a
Sand|Desert	1	a
Sludge|Sewage|Wastewater	1	a
Bovine intestinal microflora|Bovine urogenital tract|Bovine respiratory tract	1	a
Nasopharyngeal microflora	1	a
Host|Human|Lung	1	a
Fish food product	1	a
Aquatic|Water	1	a
Oral cavity|Sheep	1	a
Host|Tunicate	1	a
Contaminated water|Groundwater	1	a
Antarctic soil	1	a
Salmon	1	a
Waste treatement plant	1	a
Sediment|Mud|Aquatic|Marine sediment	1	a
Mud|Snail	1	a
Cat	1	a
Dog	1	a
Host|Cecum	1	a
Whale gastrointestinal tract	1	a
Marine shellfish	1	a
Eye	1	a
Fresh water|Pond water	1	a
Marine|Plankton	1	a
Activated sludge|Wastewater	1	a
Pig gastrointestinal tract|Host	1	a
Birds intestinal microflora	1	a
Aquifer	1	a
Host|Gastrointestinal tract|Mouse cecum	1	a
Horse|Host	1	a
Root nodule|Rhizosphere	1	a
Industrial waste|Wastewater	1	a
Sediment|Reservoir water	1	a
Glacier|Soil	1	a
Activated sludge|Bioreactor	1	a
pyrite-leaching pilot plant	1	a
Sand|Desert soil	1	a
Soil|Water	1	a
Microbial mat	1	a
Potato|Rhizosphere	1	a
Sputum|Human airways	1	a
Rumen|Host|Bovine	1	a
Marine|Coral|Aquatic	1	a
Marine|Aquatic|Sponge	1	a
Insect|Mouse	1	a
Sediment|Terrestrial	1	a
Acid mine drainage|Biofilm	1	a
Oil reservoir|Petroleum	1	a
Aquatic|Fresh water|Antarctic soil	1	a
Beetle gut|Host	1	a
Host|Cervix	1	a
Soil|Clay	1	a
Soil|Tundra soil	1	a
Hospital|Human	1	a
Mosquito|Host	1	a
Host|Dog	1	a
Biogas reactor	1	a
Host|Human|Goat	1	a
Animal|Human	1	a
Marine host	1	a
Human gastrointestinal tract|Water	1	a
Fish brain	1	a
Painting	1	a
Plant|Fruits	1	a
Marine sediment|Deep sea	1	a
Aquatic|Fresh water sediment	1	a
Mud|Estuaries	1	a
Glacier|Arctic	1	a
Feces|Human	1	a
Marine|Arctic	1	a
Agricultural soil|Soil	1	a
Milk|Host|Bovine brain	1	a
Aquatic|Water|Spacecraft	1	a
Hydrothermal water|Sea water	1	a
Aquatic|Hypersaline lakes|Fresh water	1	a
Aquatic|Freshwater sediment	1	a
Lake water|Aquatic|Fresh water	1	a
Coral|Marine host	1	a
Hot spring sediment	1	a
Host|Honey bee	1	a
Coal mine	1	a
Marine|Estuaries	1	a
Soil|Permafrost soil	1	a
Aquifer|Deep subsurface	1	a
Insect gut|Fruits	1	a
Sheep	1	a
Coastal sea water|Sponge	1	a
Intestinal tract|Feces	1	a
Aquatic|Soda lake	1	a
Wound	1	a
Hydrothermal vent	1	a
Human abscess	1	a
Mangrove soil|Wetland	1	a
Air|Cattle	1	a
Chicken feces	1	a
Trout|Kidney	1	a
Brewery|Wine	1	a
Wheat|Flour|Fermented food product	1	a
Baboon|Oral cavity	1	a
Milk|Meat food product|Fermented food product|Silage	1	a
Fish|Fermented food product	1	a
Milk|Cheese	1	a
Food factory|Compost	1	a
Fermentaion factory waste	1	a
Pig gastrointestinal tract	1	a
Human saliva	1	a
Milk|Fermented food product	1	a
Human gastrointestinal tract|Human oral cavity	1	a
Bovine feces	1	a
Beef food product|Meat food product	1	a
Human urogenital tract	1	a
Marine|Rock|Hydrothermal vent	1	a
Seed	1	a
Grassland soil	1	a
Hypersaline sediment	1	a
Worm	1	a
Animal intestinal tract	1	a
Oil production fluid	1	a
Agricultural field	1	a
Bog	1	a
Contaminated soil	1	a
Sheep rumen	1	a
Groundwater|Alkaline water	1	a
Air|Hospital	1	a
Human upper respiratory tract	1	a
Mushroom	1	a
Animal feces|Monkey	1	a
Sugarcane root	1	a
Oil polluted freshwater	1	a
Soil|Beach	1	a
Industrial area	1	a
Bovine	1	a
Maize rhizosphere	1	a
Goat	1	a
Agricultural field|Plant	1	a
Wetland soil	1	a
Antelope|Feces	1	a
Larva	1	a
Fish gastrointestinal tract	1	a
Finch	1	a
Lichen	1	a
Pond water	1	a
Wall	1	a
Hydrothermal water	1	a
Lymph nodes	1	a
Animal|Mammalian gastrointestinal tract|Feces	1	a
Crocodile	1	a
Animal	1	a
Cat oral cavity	1	a
Saline water	1	a
Seal|Oral cavity	1	a
Rice	1	a
Glacier|Ice	1	a
Shrimp	1	a
Human urine	1	a
Mine soil	1	a
Pig feces	1	a
Mangrove forest	1	a
